clause,document,title,severity,decision,by_exception,current,flips,law_talk,note
"msa_parties","msa","Parties","critical","drafting","default","drafting","","","drafting: the ""msa"" default"
"msa_structure","msa","Structure and Order of Precedence","critical","drafting","default","drafting","","","drafting: the ""msa"" default"
"msa_definitions","msa","Definitions","recommended","drafting","default","drafting","","","drafting: the ""msa"" default"
"msa_affiliates","msa","Affiliate Participation","optional","drafting","default","drafting","","","drafting: the ""msa"" default"
"msa_fees","msa","Fees","critical","drafting","default","drafting","","","drafting: the ""msa"" default"
"msa_invoicing","msa","Invoicing and Payment","critical","drafting","default","drafting","","","drafting: the ""msa"" default"
"msa_late","msa","Late Payment","recommended","drafting","default","drafting","","","drafting: the ""msa"" default"
"msa_taxes","msa","Taxes","recommended","drafting","default","drafting","","","drafting: the ""msa"" default"
"msa_expenses","msa","Expenses","optional","drafting","default","authority","flip","","drafting: the ""msa"" default"
"msa_price_increase","msa","Rate Adjustments","recommended","drafting","default","drafting","","","drafting: the ""msa"" default"
"msa_price_protection","msa","Rate Adjustments","recommended","drafting","default","authority","flip","","drafting: the ""msa"" default"
"msa_mfn","msa","Most Favored Pricing","optional","drafting","default","drafting","","","drafting: the ""msa"" default"
"msa_ip_background","msa","Background IP","critical","drafting","default","drafting","","","drafting: the ""msa"" default"
"msa_ip_deliverables_provider","msa","Ownership of Deliverables","critical","drafting","default","drafting","","","drafting: the ""msa"" default"
"msa_ip_deliverables_customer","msa","Ownership of Deliverables","critical","drafting","default","drafting","","","drafting: the ""msa"" default"
"msa_feedback","msa","Feedback","recommended","drafting","default","drafting","","","drafting: the ""msa"" default"
"msa_opensource","msa","Third-Party and Open Source Components","recommended","drafting","default","drafting","","","drafting: the ""msa"" default"
"msa_marks","msa","Publicity and Trademarks","optional","drafting","default","authority","flip","says something is required by law","drafting: the ""msa"" default"
"msa_warranty_provider","msa","Warranties","critical","drafting","default","authority","flip","","drafting: the ""msa"" default"
"msa_warranty_customer","msa","Warranties","critical","drafting","default","drafting","","","drafting: the ""msa"" default"
"msa_disclaimer","msa","Disclaimer","critical","drafting","default","drafting","","","drafting: the ""msa"" default"
"msa_indemnity_ip","msa","Intellectual Property Indemnity","critical","drafting","default","drafting","","","drafting: the ""msa"" default"
"msa_indemnity_mutual","msa","General Indemnity and Procedure","recommended","drafting","default","drafting","","","drafting: the ""msa"" default"
"msa_liability_cap","msa","Limitation of Liability","critical","drafting","default","drafting","","","drafting: the ""msa"" default"
"msa_liability_supercap","msa","Enhanced Cap for Data and Confidentiality","recommended","drafting","default","drafting","","","drafting: the ""msa"" default"
"msa_liability_carveouts","msa","Exclusions from the Cap","critical","drafting","default","drafting","","","drafting: the ""msa"" default"
"msa_insurance","msa","Insurance","recommended","drafting","default","drafting","","","drafting: the ""msa"" default"
"msa_sla","msa","Service Levels","recommended","drafting","default","drafting","","","drafting: the ""msa"" default"
"msa_confidentiality","msa","Confidentiality","critical","drafting","default","drafting","","","drafting: the ""msa"" default"
"msa_security","msa","Information Security","recommended","drafting","default","drafting","","","drafting: the ""msa"" default"
"msa_dpa_incorp","msa","Data Processing","critical","drafting","default","drafting","","","drafting: the ""msa"" default"
"msa_audit","msa","Audit Rights","recommended","drafting","default","drafting","","","drafting: the ""msa"" default"
"msa_breach_notify","msa","Security Incident Notification","critical","drafting","default","authority","flip","says something is required by law","drafting: the ""msa"" default"
"msa_term","msa","Term","critical","drafting","default","drafting","","","drafting: the ""msa"" default"
"msa_renewal","msa","Renewal","recommended","drafting","default","drafting","","","drafting: the ""msa"" default"
"msa_term_cause","msa","Termination for Cause","critical","drafting","default","authority","flip","","drafting: the ""msa"" default"
"msa_term_insolvency","msa","Insolvency","recommended","drafting","default","drafting","","","drafting: the ""msa"" default"
"msa_effect_termination","msa","Effect of Termination","critical","drafting","default","drafting","","","drafting: the ""msa"" default"
"msa_transition","msa","Transition Assistance","recommended","drafting","default","drafting","","","drafting: the ""msa"" default"
"msa_survival","msa","Survival","recommended","drafting","default","drafting","","","drafting: the ""msa"" default"
"msa_independent","msa","Independent Contractors","optional","drafting","default","drafting","","","drafting: the ""msa"" default"
"msa_counterparts","msa","Counterparts and Electronic Signature","optional","drafting","default","drafting","","","drafting: the ""msa"" default"
"msa_escrow","msa","Source Code Escrow","optional","drafting","default","drafting","","","drafting: the ""msa"" default"
"gov_formation","governance","Formation and Term","critical","drafting","default","drafting","","","drafting: the ""governance"" default"
"gov_offices","governance","Principal Office","optional","drafting","default","drafting","","","drafting: the ""governance"" default"
"gov_capital","governance","Capital Contributions","critical","drafting","default","drafting","","","drafting: the ""governance"" default"
"gov_stock_issuance","governance","Issuance of Stock","critical","drafting","default","drafting","","","drafting: the ""governance"" default"
"gov_units","governance","Ownership Interests","critical","drafting","default","drafting","","","drafting: the ""governance"" default"
"gov_taxelect","governance","Tax Classification","recommended","drafting","default","drafting","","","drafting: the ""governance"" default"
"gov_voting","governance","Management and Voting","critical","drafting","default","drafting","","","drafting: the ""governance"" default"
"gov_board","governance","Board of Directors","critical","drafting","default","drafting","","","drafting: the ""governance"" default"
"gov_officers","governance","Officers","recommended","drafting","default","drafting","","","drafting: the ""governance"" default"
"gov_manager","governance","Managers","recommended","drafting","default","authority","flip","","drafting: the ""governance"" default"
"gov_quorum","governance","Meetings and Quorum","recommended","drafting","default","drafting","","","drafting: the ""governance"" default"
"gov_written_consent","governance","Action by Written Consent","recommended","drafting","default","drafting","","","drafting: the ""governance"" default"
"gov_solemember","governance","Sole Owner Provisions","recommended","drafting","default","drafting","","","drafting: the ""governance"" default"
"gov_fiduciary","governance","Standard of Care","recommended","authority","exception","drafting","flip","","authority: named exception to the ""governance"" default of drafting"
"gov_conflicts","governance","Conflicts of Interest","recommended","drafting","default","drafting","","","drafting: the ""governance"" default"
"gov_books","governance","Books and Records","recommended","drafting","default","drafting","","","drafting: the ""governance"" default"
"gov_committees","governance","Board Committees","optional","drafting","default","authority","flip","","drafting: the ""governance"" default"
"gov_distrib","governance","Distributions","recommended","drafting","default","drafting","","","drafting: the ""governance"" default"
"gov_taxdistrib","governance","Tax Distributions","recommended","drafting","default","drafting","","","drafting: the ""governance"" default"
